Latitude,Longitude
45.18136157,-76.61555742
43.45973643,-79.75125868
42.30231213,-81.85164814
43.58743273,-80.27344086
43.96591214,-81.47491628
44.49550696,-80.86777644
43.26503129,-79.90620322
43.93208461,-79.82147275
46.34553344,-79.31140362
48.77635899,-86.58497438
44.42813228,-80.27684544
45.18553318,-76.60544442
44.3245304,-81.55786304
43.93436991,-79.83197215
49.89968624,-93.47786032
44.40408961,-81.48883162
43.97372556,-81.07988185
46.34246334,-79.31801082
43.37648102,-79.71842127
43.92932841,-79.82708775
44.42426278,-80.28819024
43.95517562,-79.84308536
44.69983668,-81.10986023
44.7458777,-80.93136198
44.96727162,-81.2305462
44.28704132,-80.88214412
43.21094509,-79.75489286
45.10948146,-76.69803154
44.50738946,-80.81009752
42.65763876,-80.47084834
43.2834895,-81.80132091
45.03623714,-76.82135958
44.28520484,-80.54284541
43.92784171,-79.83057295
44.35411925,-76.07578147
43.23921018,-79.99254804
45.23625825,-81.52335972
44.8200605,-81.14244035
44.35405605,-76.07489387
45.17773258,-76.5535516
48.65630006,-91.15559279
43.2865503,-79.90669112
45.19470108,-76.58454451
48.83823345,-87.39685815
44.62946707,-81.07226351
43.62529108,-81.48243495
43.98061851,-80.02443572
45.07827755,-76.76178476
43.82440849,-80.0214114
44.70005218,-81.10416633
45.33251481,-76.37210515
44.53679867,-80.79688222
43.284019,-79.90388672
44.55058137,-80.92945336
50.10358168,-91.93382149
46.26704343,-83.10629894
45.2445561,-76.25838731
44.71472991,-76.28543247
41.93326683,-82.51245751
43.49620683,-79.92242534
46.34799844,-79.30817252
44.51799599,-76.02179757
43.44785723,-79.71345197
44.99363065,-76.54512258
43.99353321,-80.01420722
44.29596777,-77.80010223
45.79193957,-82.75075187
49.42523883,-94.0496085
43.92619911,-79.83297055
42.28169482,-81.85441514
44.41641325,-80.71685098
46.80473395,-84.30332848
43.93349411,-79.82749645
44.44150978,-80.30678705
44.03423575,-79.3146988
44.67595778,-81.0120232
44.85128893,-76.27069248
48.38536499,-88.77905001
44.50644687,-76.40472189
44.40689365,-80.76304499
46.78588694,-84.3521853
46.58828378,-81.38046802
44.17384184,-80.14939188
44.28307802,-76.50762731
44.22215389,-79.33323192
43.87234505,-78.78294021
48.4644285,-88.74981612
46.58838498,-81.38106392
44.58578515,-79.36114506
43.63685618,-81.48662575
44.685368,-76.40928041
44.11962831,-78.45896323
44.34374776,-80.41691338
44.50479716,-76.47420932
43.25484909,-79.99772184
48.69521874,-85.64759957
44.52578616,-80.93420736
45.35293108,-77.15939091
44.02389675,-79.35829661
44.63761339,-80.73345121
47.70243755,-84.73032444
44.04246126,-79.3229688
49.42178303,-94.0544946
47.2783451,-84.56111023
44.7725905,-81.07491863
43.12158029,-79.35126033
44.61730759,-76.42061461
43.13906655,-80.29952213
43.23428268,-80.00748245
43.20965359,-79.78144697
43.96796204,-81.47995918
45.03747444,-76.81293027
50.11025249,-91.91324958
43.2846075,-79.90216912
44.64793328,-81.0191116
43.44195573,-79.77308089
43.91908521,-79.83827735
46.79536294,-84.33693509
43.92799044,-81.36540824
44.39880614,-80.95568685
49.42170343,-94.03689699
44.05858188,-78.75736372
43.38670202,-79.72684037
43.93271191,-79.83484165
45.33134351,-76.36755085
48.4484776,-88.74295321
46.34802074,-79.30815532
44.44255536,-80.58479564
43.63245855,-79.97293527
44.57996796,-81.07907081
44.01802876,-79.18180135
44.28106332,-76.50833021
44.05857086,-79.3268409
43.20558019,-79.69529864
44.44684408,-80.30901195
43.30874898,-80.36840897
44.78722542,-76.22004836
47.58455543,-84.84733436
46.5857643,-82.71586145
43.63360618,-81.50352145
43.68448977,-79.92708196
44.68480428,-81.018157
43.92932511,-79.82479215
48.34078618,-88.82130782
44.70023588,-81.09895393
44.2382977,-81.21373102
44.35561135,-76.07151727
43.2851219,-79.90025372
48.67004946,-91.13063428
49.29840542,-82.53610414
43.11442689,-79.274917
45.85383666,-77.33696932
42.64866045,-80.56012907
46.79666524,-84.33199489
44.44521508,-80.28960535
45.20261168,-76.59099161
46.79999024,-84.31955649
45.19239858,-76.59160471
45.09952186,-76.70891134
44.8167215,-81.13171695
42.31409303,-81.85093814
45.75451334,-77.321431
45.93181141,-80.56648278
45.20810218,-76.59572692
43.92885471,-79.82287725
43.97322626,-81.08401555
43.99689052,-77.70739748
43.63488438,-81.57408188
43.62199892,-80.56621176
44.55152039,-78.35421953
44.92083087,-78.07062487
44.50388208,-76.03928237
44.53295688,-76.19922453
43.92732361,-79.82055315
48.67481446,-91.12594408
45.17641328,-76.5594639
45.58991711,-77.3475626
44.40343827,-80.32338905
44.89509881,-81.10902155
44.50458846,-76.55516704
45.20585488,-76.60114122
49.28644041,-84.2337666
44.97314097,-75.83298935
44.40530827,-80.36766407
45.04148464,-76.81935518
43.58795823,-80.27431366
45.19843301,-75.81911836
48.67025866,-91.10578978
45.09659376,-76.71195335
46.80786585,-84.28240558
43.47084143,-79.94942115
44.42667965,-80.766767
44.29582047,-77.80015293
44.35004277,-80.20608001
44.68321628,-81.06060161
43.92816181,-79.82310055
44.29563377,-77.80014193
44.92774483,-76.55163538
43.38039962,-79.72433437
48.67185446,-91.13348219
46.78601434,-84.3526829
43.3307614,-79.88712212
44.29641047,-77.80037863
44.43638639,-77.89393547
44.54723388,-76.36577049
44.53157446,-80.93712736
49.39694335,-82.16785143
46.80199144,-84.31123379
43.4187764,-80.38984058
45.43027177,-75.2822444
43.15756603,-80.73067687
45.17543397,-76.62323522
49.89802634,-93.46737371
43.66947418,-81.70506492
44.62986287,-81.00984149
44.14789461,-78.44738333
49.90415234,-93.46915352
43.10814379,-79.28716661
49.37661775,-92.50318783
43.76155381,-79.35030558
44.48438829,-80.19877682
45.19451398,-76.58417921
46.80249714,-84.30880599
45.80046568,-82.72651646
45.2443808,-76.25823101
43.2498041,-81.84889303
49.34630115,-82.15345512
44.68510888,-80.99595049
48.34423148,-88.79708741
42.29711848,-82.92278187
44.95164372,-81.12107606
43.250583,-81.82702672
44.61662478,-80.90777636
44.03667247,-78.91939307
45.14745964,-81.33893075
44.292698,-79.20463978
44.51168509,-80.38124598
43.2556186,-81.84476573
44.76765682,-76.25468147
43.62266648,-79.47553751
43.14990811,-79.15498807
45.30921601,-78.54069996
45.02047063,-81.28372982
45.2405689,-78.54994996
44.75404959,-81.14129505
43.24609819,-79.90812872
43.82148462,-79.3732885
45.24926975,-81.61325125
43.2737205,-81.80315521
48.78902665,-88.67194894
45.2515757,-78.51080155
43.20455259,-79.66327103
44.42660536,-80.58115834
45.2320516,-78.55654396
49.75823638,-92.65325004
43.79526098,-80.0127516
45.23625825,-81.52335972
49.75303161,-83.67096048
45.2586049,-78.49102074
45.34921563,-80.21813991
43.97369121,-79.9800656
44.7888208,-80.9964409
43.18729528,-79.81158048
43.34869371,-79.85938991
43.59306785,-79.98017357
43.46353873,-79.94828585
45.2569767,-78.56002756
43.99815032,-77.72650098
43.35589251,-79.85193401
45.14545274,-81.33890315
44.06404172,-80.08139204
46.62170108,-81.45853505
45.27591351,-78.49216664
44.29774745,-78.26998478
43.26830919,-79.91517572
45.31426061,-78.48231324
44.95320362,-81.12794816
42.28062363,-81.84413464
43.2919565,-79.87948541
44.51078469,-80.35729537
48.37158575,-92.13277914
45.16417365,-81.34786176
49.84203081,-83.91781757
44.43713269,-77.88173647
45.2614656,-78.60862158
49.84052151,-83.91574617
45.25716975,-81.65628426
43.2904476,-79.93720743
43.26632,-81.81095852
48.75206814,-91.58365254
49.76195278,-92.65467904
43.2637297,-81.83239552
50.24120104,-90.17016776
45.2429122,-78.60064688
44.34268347,-80.21059701
45.2789694,-78.61228188
45.22677219,-78.58881827
44.53714546,-80.94696956
43.41876939,-80.58885045
43.08456667,-81.821461
43.23758309,-81.87536663
43.23284828,-79.97440283
45.13339084,-81.33072995
43.28166339,-79.97909164
45.2410604,-78.53221555
45.06323009,-77.97949416
45.03780006,-76.2863291
43.18365829,-79.5718852
43.2985906,-79.92547493
44.30905365,-78.37491422
45.2551588,-78.56120136
47.65875184,-84.79916375
43.58304645,-79.97190127
48.79387689,-86.6237396
44.39177714,-80.89697473
44.45712235,-76.58961515
43.21142039,-79.75496636
43.18684738,-79.81158138
